date,amount,type,category,narration,payment_mode
01/01/2025,82000.0,CREDIT,SALARY,ACH CR - TCS CORP SALARY,ACH
04/01/2025,31000.0,DEBIT,RENT,UPI - HDFC RENT TO LANDLORD,UPI
07/01/2025,6000.0,DEBIT,INVESTMENT,ACH DR - KFINTECH MUTUAL FUND SIP,ACH
10/01/2025,2500.0,DEBIT,TAX_SHIELD,HDFC LIFE INSURANCE PREMIUM,NETBANKING
11/01/2025,320.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/01/2025,320.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
13/01/2025,320.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/01/2025,320.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
15/01/2025,320.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/01/2025,320.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
17/01/2025,320.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
18/01/2025,320.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
19/01/2025,3800.0,DEBIT,SHOPPING,AMAZON PAY INDIA,UPI
20/01/2025,3800.0,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
21/01/2025,3800.0,DEBIT,SHOPPING,AMAZON PAY INDIA,UPI
22/01/2025,3800.0,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
23/01/2025,3800.0,DEBIT,SHOPPING,AMAZON PAY INDIA,UPI
24/01/2025,3800.0,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
25/01/2025,3800.0,DEBIT,SHOPPING,AMAZON PAY INDIA,UPI
26/01/2025,3800.0,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
27/01/2025,3800.0,DEBIT,SHOPPING,AMAZON PAY INDIA,UPI
28/01/2025,3800.0,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
01/02/2025,82000.0,CREDIT,SALARY,ACH CR - TCS CORP SALARY,ACH
04/02/2025,31000.0,DEBIT,RENT,UPI - HDFC RENT TO LANDLORD,UPI
