date,amount,type,category,narration,payment_mode
12/01/2025,220000.0,CREDIT,GENERAL_CREDIT,NEFT CR - FINTECH CLIENT UI REDESIGN,NEFT
24/03/2025,380000.0,CREDIT,GENERAL_CREDIT,IMPS CR - SAAS DASHBOARD DESIGN CONTRACT,IMPS
18/05/2025,150000.0,CREDIT,GENERAL_CREDIT,NEFT CR - ECOMMERCE MOBILE APP WIREFRAMES,NEFT
05/07/2025,320000.0,CREDIT,GENERAL_CREDIT,IMPS CR - CRYPTO WALLET DESIGN MILESTONE,IMPS
19/09/2025,180000.0,CREDIT,GENERAL_CREDIT,NEFT CR - EDTECH CLIENT RETAINER,NEFT
28/11/2025,200000.0,CREDIT,GENERAL_CREDIT,IMPS CR - BRANDING & DESIGN SYSTEM,IMPS
05/01/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/01/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/01/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/01/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/01/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/01/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/02/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/02/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
20/02/2025,85000.0,DEBIT,SHOPPING,POS CARD - APPLE STORE MUMBAI MACBOOK,POS
15/02/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/02/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/02/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/02/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/03/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
14/03/2025,38000.0,DEBIT,TRAVEL,POS CARD - TAJ HOTELS RESORTS MUMBAI,POS
15/03/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
18/03/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
21/03/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
24/03/2025,6500.0,DEBIT,FOOD,POS CARD - FINE DINING RESTAURANT BKC,POS
05/04/2025,35000.0,DEBIT,RENT,NEFT - WEWORK COWORKING STUDIO,NEFT
