date,amount,type,category,narration,payment_mode
02/01/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/01/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/01/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/01/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/01/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/01/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/01/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/01/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/01/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/01/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/01/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/01/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/02/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/02/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/02/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/02/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/02/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/02/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/02/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/02/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/02/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/02/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/02/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/02/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/03/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/03/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/03/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/03/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/03/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/03/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/03/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/03/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/03/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/03/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/03/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/03/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/04/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/04/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/04/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/04/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/04/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/04/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/04/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/04/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/04/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/04/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/04/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/04/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/05/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/05/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/05/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/05/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/05/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/05/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/05/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/05/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/05/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
20/05/2025,450.0,DEBIT,SHOPPING,ZEPTO MUMBAI,UPI
22/05/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
24/05/2025,1200.0,DEBIT,SHOPPING,AMAZON PAY CAMPUS,UPI
02/06/2025,24000.0,CREDIT,SALARY,ACH CR - INTERNSHIP STIPEND RESEARCH LAB,ACH
04/06/2025,6000.0,DEBIT,RENT,UPI - PG HOSTEL RENT TO LANDLORD,UPI
06/06/2025,3500.0,DEBIT,INVESTMENT,GROWW MUTUAL FUND SIP,ACH
08/06/2025,1500.0,DEBIT,TAX_SHIELD,PPF DEPOSIT SBI ONLINE,NETBANKING
10/06/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
12/06/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
14/06/2025,250.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
16/06/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
18/06/2025,450.0,DEBIT,FOOD,ZEPTO MUMBAI,UPI
