date,amount,type,category,narration,payment_mode
01/01/2025,175000.0,CREDIT,SALARY,ACH CR - GOOGLE INDIA PAYROLL,ACH
05/01/2025,28000.0,DEBIT,EMI,ACH DR - HDFC HOME LOAN EMI,ACH
08/01/2025,75000.0,DEBIT,INVESTMENT,ACH DR - ZERODHA MUTUAL FUND SIP,ACH
10/01/2025,28000.0,DEBIT,TAX_SHIELD,NPS TRUST CONTRIBUTION PENSION,NETBANKING
12/01/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
15/01/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
18/01/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
21/01/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
24/01/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
01/02/2025,175000.0,CREDIT,SALARY,ACH CR - GOOGLE INDIA PAYROLL,ACH
05/02/2025,28000.0,DEBIT,EMI,ACH DR - HDFC HOME LOAN EMI,ACH
08/02/2025,75000.0,DEBIT,INVESTMENT,ACH DR - ZERODHA MUTUAL FUND SIP,ACH
10/02/2025,28000.0,DEBIT,TAX_SHIELD,NPS TRUST CONTRIBUTION PENSION,NETBANKING
12/02/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
15/02/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
18/02/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
21/02/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
24/02/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
01/03/2025,175000.0,CREDIT,SALARY,ACH CR - GOOGLE INDIA PAYROLL,ACH
05/03/2025,28000.0,DEBIT,EMI,ACH DR - HDFC HOME LOAN EMI,ACH
08/03/2025,75000.0,DEBIT,INVESTMENT,ACH DR - ZERODHA MUTUAL FUND SIP,ACH
10/03/2025,28000.0,DEBIT,TAX_SHIELD,NPS TRUST CONTRIBUTION PENSION,NETBANKING
12/03/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
15/03/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
18/03/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
21/03/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
24/03/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
01/04/2025,175000.0,CREDIT,SALARY,ACH CR - GOOGLE INDIA PAYROLL,ACH
05/04/2025,28000.0,DEBIT,EMI,ACH DR - HDFC HOME LOAN EMI,ACH
08/04/2025,75000.0,DEBIT,INVESTMENT,ACH DR - ZERODHA MUTUAL FUND SIP,ACH
10/04/2025,28000.0,DEBIT,TAX_SHIELD,NPS TRUST CONTRIBUTION PENSION,NETBANKING
12/04/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
15/04/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
18/04/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
21/04/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
24/04/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
01/05/2025,175000.0,CREDIT,SALARY,ACH CR - GOOGLE INDIA PAYROLL,ACH
05/05/2025,28000.0,DEBIT,EMI,ACH DR - HDFC HOME LOAN EMI,ACH
08/05/2025,75000.0,DEBIT,INVESTMENT,ACH DR - ZERODHA MUTUAL FUND SIP,ACH
10/05/2025,28000.0,DEBIT,TAX_SHIELD,NPS TRUST CONTRIBUTION PENSION,NETBANKING
12/05/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
15/05/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
18/05/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
21/05/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
24/05/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
01/06/2025,175000.0,CREDIT,SALARY,ACH CR - GOOGLE INDIA PAYROLL,ACH
05/06/2025,28000.0,DEBIT,EMI,ACH DR - HDFC HOME LOAN EMI,ACH
08/06/2025,75000.0,DEBIT,INVESTMENT,ACH DR - ZERODHA MUTUAL FUND SIP,ACH
10/06/2025,28000.0,DEBIT,TAX_SHIELD,NPS TRUST CONTRIBUTION PENSION,NETBANKING
12/06/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
15/06/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
18/06/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
21/06/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
24/06/2025,4000.0,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
