transaction_id,user_id,date,amount,type,category,narration,payment_mode
TXN_7515817A,1502,2025-01-02,74783.33,CREDIT,SALARY,ACH CR - INFOSYS LTD,ACH
TXN_5B211CD8,1502,2025-01-06,9283.6,DEBIT,RENT,UPI - RENT TO LANDLORD,UPI
TXN_DEA7EDC4,1502,2025-01-09,33091.62,DEBIT,INVESTMENT,KFINTECH MF SIP,ACH
TXN_2086135E,1502,2025-01-08,138.21,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_148DAD7B,1502,2025-01-22,365.89,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_6FB5D10D,1502,2025-01-19,225.65,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_B52910B5,1502,2025-01-03,136.2,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_2B655352,1502,2025-01-18,127.49,DEBIT,FOOD,ZEPTO MUMBAI,UPI
TXN_85806374,1502,2025-01-08,237.65,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_28152A5F,1502,2025-01-26,422.49,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
TXN_A1806B07,1502,2025-01-23,225.95,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_9903D1F7,1502,2025-01-05,134.74,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_B839D64F,1502,2025-01-04,80.81,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_895BF109,1502,2025-01-12,412.9,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_BAF85474,1502,2025-01-26,59.12,DEBIT,FOOD,ZEPTO MUMBAI,UPI
TXN_18090676,1502,2025-01-18,94.92,DEBIT,FOOD,ZEPTO MUMBAI,UPI
TXN_5242C69E,1502,2025-01-03,282.9,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_ED35C17D,1502,2025-01-19,124.61,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_04A7B682,1502,2025-01-02,330.96,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_CA79D129,1502,2025-01-03,416.34,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_1BA37340,1502,2025-01-13,162.31,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_5DEFA8CE,1502,2025-01-06,202.88,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
TXN_11288324,1502,2025-01-22,157.47,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_40AA2226,1502,2025-01-20,319.39,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
TXN_2826155C,1502,2025-01-06,243.39,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_E17CB440,1502,2025-01-21,342.79,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
TXN_2E5284B6,1502,2025-02-01,74783.33,CREDIT,SALARY,NEFT CR - GOOGLE INDIA,ACH
TXN_87EB632D,1502,2025-02-05,9283.6,DEBIT,RENT,UPI - RENT TO LANDLORD,UPI
TXN_428EE97E,1502,2025-02-08,33091.62,DEBIT,INVESTMENT,ACH DR - ZERODHA SIP,ACH
TXN_AF1C370E,1502,2025-02-26,178.8,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_51103325,1502,2025-02-03,132.83,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_1471D914,1502,2025-02-07,328.39,DEBIT,FOOD,ZEPTO MUMBAI,UPI
TXN_4CE2E286,1502,2025-02-21,241.89,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_47C04661,1502,2025-02-05,148.52,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_4EB0008E,1502,2025-02-24,297.22,DEBIT,FOOD,ZEPTO MUMBAI,UPI
TXN_E0BBB40B,1502,2025-02-12,136.5,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
TXN_BBEB5532,1502,2025-02-17,257.15,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_8E1A0892,1502,2025-02-28,88.25,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
TXN_9E24BBF1,1502,2025-02-26,339.41,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_1C887C63,1502,2025-02-13,207.91,DEBIT,FOOD,ZEPTO MUMBAI,UPI
TXN_37C3B7C8,1502,2025-02-17,150.62,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_6AE25F30,1502,2025-02-22,357.12,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_A46E9275,1502,2025-02-25,322.02,DEBIT,FOOD,UPI - SWIGGY BANGALORE,UPI
TXN_1419BF22,1502,2025-02-10,231.3,DEBIT,FOOD,ZEPTO MUMBAI,UPI
TXN_95E8C07C,1502,2025-02-01,459.68,DEBIT,FOOD,BLINKIT GURGAON,UPI
TXN_0B499694,1502,2025-03-03,74783.33,CREDIT,SALARY,SALARY CREDIT - TCS CORP,ACH
TXN_C0109C4A,1502,2025-03-07,9283.6,DEBIT,RENT,CRED RENT PAY,UPI
TXN_E71CCB7C,1502,2025-03-10,33091.62,DEBIT,INVESTMENT,ACH DR - ZERODHA SIP,ACH
TXN_3BC39F3D,1502,2025-03-27,321.14,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
TXN_C0D20887,1502,2025-03-05,204.52,DEBIT,FOOD,UPI - ZOMATO HYDERABAD,UPI
