log_annual_credit,log_annual_debit,net_savings_ratio,monthly_burn_rate,salary_inflow_ratio,monthly_credit_cv,salary_regularity_score,bonus_lump_sum_ratio,investment_ratio,fixed_obligation_ratio,discretionary_ratio,tax_shield_ratio,upi_velocity_index,micro_spend_density,log_avg_ticket_size,capital_gains_flux,user_id,true_annual_income,tax_slab_class,behavior_cluster
19.6348,19.6758,-0.0418,1.0418,0.4854,0.0835,0.25,0.0,0.0,0.0415,0.0,0.0,0.1282,0.0,14.6057,0.0011,100000,336743382.08,6,1
14.3061,14.5428,-0.2671,1.2671,0.5115,1.1478,0.6667,0.0,0.0,0.0,0.0,0.0,0.141,0.0002,9.3817,0.0,100001,1633303.2,3,1
17.9523,17.9115,0.0399,0.9601,0.3693,0.6367,0.25,0.177,0.0,0.0,0.0,0.0,0.1375,0.0,13.5501,0.0002,100002,62598414.86,6,1
16.8752,16.8934,-0.0184,1.0184,0.5682,0.3993,0.25,0.0,0.0,0.021,0.0,0.0002,0.125,0.0,12.4535,0.0,100003,21320766.81,6,1
17.1994,17.0298,0.156,0.844,0.533,0.1292,0.25,0.0,0.0,0.0053,0.0,0.0,0.1481,0.0,12.7238,0.0,100004,29486102.84,6,1
17.2668,17.2849,-0.0183,1.0183,0.6345,1.064,0.8333,0.0,0.0,0.0047,0.0,0.0001,0.1446,0.0,12.1639,0.0016,100005,31541400.76,6,1
17.4629,17.5022,-0.04,1.04,0.4621,1.4028,0.8333,0.0,0.0,0.0146,0.0,0.0,0.1242,0.0,12.4014,0.0017,100006,38375967.48,6,1
16.2124,16.2654,-0.0544,1.0544,0.5837,0.9593,0.75,0.0,0.0,0.0,0.0,0.0,0.1313,0.0,11.1641,0.0018,100007,10988756.0,6,1
17.7439,17.7612,-0.0174,1.0174,0.6191,1.2228,0.5833,0.0,0.0,0.0,0.0,0.0,0.097,0.0,12.6466,0.0,100008,50822916.36,6,1
16.3941,16.3678,0.0259,0.9741,0.3601,0.6623,0.25,0.0,0.0,0.0163,0.0,0.0,0.1111,0.0,11.9866,0.0014,100009,13178560.25,6,1
17.2405,17.2667,-0.0266,1.0266,0.3632,0.6194,0.25,0.0,0.0,0.0221,0.0,0.0,0.0843,0.0,12.8348,0.0021,100010,30720939.47,6,1
17.6032,17.5312,0.0694,0.9306,0.261,0.4711,0.25,0.0,0.0,0.0147,0.0,0.0,0.0988,0.0,13.1734,0.0,100011,44152619.73,6,1
16.1944,16.3573,-0.1769,1.1769,0.7692,1.6974,0.8333,0.366,0.0,0.0003,0.0,0.0003,0.0943,0.0,11.2102,0.0,100012,10792809.0,6,1
18.4006,18.4016,-0.001,1.001,0.4182,0.83,0.25,0.0,0.0,0.0076,0.0,0.0,0.0932,0.0,14.0129,0.0024,100013,98016654.2,6,1
16.0317,16.1078,-0.0792,1.0792,0.7989,1.5759,0.9167,0.0,0.0,0.0143,0.0,0.0004,0.1083,0.0,11.0142,0.0,100014,9171859.04,6,1
16.6308,16.6607,-0.0304,1.0304,0.4902,0.2944,0.25,0.0,0.0,0.0092,0.0,0.0,0.0988,0.0,12.2514,0.0007,100015,16697959.82,6,1
16.9196,16.8804,0.0384,0.9616,0.7418,1.2254,0.5833,0.0,0.0,0.0003,0.0,0.0002,0.0964,0.0,11.7882,0.0,100016,22288183.82,6,1
18.796,18.8078,-0.0118,1.0118,0.325,0.077,0.25,0.0,0.0,0.0,0.0,0.0,0.1024,0.0,14.3831,0.0007,100017,145552336.21,6,1
18.6655,18.6145,0.0498,0.9502,0.401,0.5432,0.25,0.0,0.0,0.0,0.0,0.0,0.1258,0.0,14.2646,0.0004,100018,127743679.47,6,1
20.9759,20.9734,0.0025,0.9975,0.4995,0.8306,0.25,0.0,0.0,0.0023,0.001,0.0,0.0859,0.0,15.8809,0.0,100019,1287435904.3,6,1
17.2456,17.2657,-0.0204,1.0204,0.6178,1.8805,0.9167,0.0,0.0,0.0,0.0,0.0,0.1615,0.0,12.1743,0.0007,100020,30878173.16,6,1
17.3262,17.3477,-0.0218,1.0218,0.5016,1.1116,0.8333,0.0,0.0,0.0063,0.0,0.0,0.152,0.0,12.1954,0.0,100021,33471358.46,6,1
17.4187,17.4555,-0.0375,1.0375,0.4086,0.6305,0.25,0.0,0.0,0.0,0.0,0.0,0.1083,0.0,12.381,0.0008,100022,36713463.0,6,1
19.2611,19.2668,-0.0057,1.0057,0.27,0.1291,0.25,0.0,0.0,0.0172,0.0,0.0001,0.1429,0.0,14.14,0.0003,100023,231740042.74,6,1
17.6117,17.6532,-0.0424,1.0424,0.3526,0.2465,0.25,0.0,0.0,0.0304,0.0,0.0,0.1474,0.0,13.276,0.0,100024,44532044.87,6,1
18.4056,18.445,-0.0402,1.0402,0.2589,0.5157,0.25,0.0,0.0,0.0095,0.0,0.0,0.1235,0.0,14.031,0.0079,100025,98500672.52,6,1
17.035,17.0902,-0.0568,1.0568,0.6549,1.8452,0.75,0.0,0.0,0.0197,0.0,0.0,0.0909,0.0,11.9571,0.0,100026,25015762.26,6,1
18.9355,18.9763,-0.0416,1.0416,0.2636,0.3271,0.25,0.0,0.0,0.0054,0.0,0.0,0.0949,0.0,13.8935,0.0019,100027,167335190.48,6,1
17.505,17.5208,-0.0159,1.0159,0.558,0.9423,1.0,0.0,0.0,0.0045,0.0,0.0,0.1463,0.0,12.413,0.0,100028,40023251.5,6,1
18.557,18.4423,0.1083,0.8917,0.3697,0.4128,0.25,0.0,0.0,0.0067,0.0,0.0,0.0409,0.0,13.3596,0.0025,100029,114599546.4,6,1
16.7196,16.7133,0.0063,0.9937,0.5939,1.51,0.75,0.0,0.0,0.0,0.0,0.0,0.1195,0.0,11.6476,0.0,100030,18249178.98,6,1
18.0401,18.0738,-0.0342,1.0342,0.3584,0.584,0.25,0.0,0.0,0.0,0.0,0.0,0.0932,0.0,12.9757,0.0004,100031,68347046.94,6,1
16.5036,16.4947,0.0089,0.9911,0.5006,1.4694,0.5833,0.0,0.0,0.0141,0.0,0.0,0.1341,0.0,11.3993,0.0021,100032,14703424.26,6,1
17.6204,17.6375,-0.0172,1.0172,0.541,1.3265,0.8333,0.0,0.0,0.0094,0.0,0.0,0.131,0.0,12.505,0.0,100033,44921387.6,6,1
18.1287,18.1419,-0.0133,1.0133,0.6931,0.6897,0.5833,0.0,0.0,0.0037,0.0,0.0,0.1582,0.0,13.0727,0.0,100034,74677970.46,6,1
18.4262,18.4412,-0.0151,1.0151,0.3606,0.2695,0.25,0.2431,0.0,0.0,0.0,0.0,0.1887,0.0,14.058,0.0037,100035,100558406.34,6,1
18.9031,18.8998,0.0033,0.9967,0.3831,2.0001,0.9167,0.0,0.0,0.0039,0.0,0.0,0.0854,0.0,13.8016,0.0005,100036,162005226.2,6,1
16.478,16.4497,0.0279,0.9721,0.4904,1.4909,0.9167,0.0,0.0,0.0384,0.0,0.0,0.0756,0.0,11.3164,0.0,100037,14331209.02,6,1
17.4606,17.5126,-0.0534,1.0534,0.4872,0.6527,0.25,0.1927,0.0,0.0159,0.0,0.0001,0.1,0.0,13.0443,0.0007,100038,38286093.59,6,1
17.0953,16.9482,0.1369,0.8631,0.4088,1.5227,0.75,0.0,0.0,0.0207,0.0,0.0,0.1173,0.0,11.9369,0.0013,100039,26571369.52,6,1
17.4803,17.5067,-0.0267,1.0267,0.4642,1.3075,0.8333,0.0,0.0,0.0096,0.0,0.0002,0.122,0.0,12.3937,0.0,100040,39049048.56,6,1
17.9448,17.9927,-0.0491,1.0491,0.5947,1.8088,0.8333,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,12.9128,0.0,100041,62132250.56,6,1
17.7186,17.744,-0.0257,1.0257,0.4866,1.9464,0.6667,0.0,0.0,0.0014,0.0,0.0,0.0955,0.0,12.6751,0.0,100042,49556538.32,6,1
16.5847,16.4593,0.1179,0.8821,0.3579,1.379,0.8333,0.0,0.0,0.0,0.0,0.0,0.1572,0.0,11.4551,0.0,100043,15945726.6,6,1
16.1504,16.0746,0.073,0.927,0.5807,1.8455,0.8333,0.0,0.0,0.0,0.0,0.0,0.1062,0.0,11.0381,0.0,100044,10328667.54,6,1
18.1201,18.1235,-0.0034,1.0034,0.6012,0.4917,0.25,0.3257,0.0,0.0,0.0,0.0,0.1338,0.0,13.7587,0.0015,100045,74038765.08,6,1
19.5929,19.5668,0.0258,0.9742,0.3906,0.0582,0.25,0.0,0.0,0.0123,0.0,0.0,0.0602,0.0,14.4679,0.0,100046,322906468.78,6,1
16.5885,16.6067,-0.0184,1.0184,0.5171,1.3816,0.9167,0.0,0.0,0.0097,0.0,0.0002,0.1447,0.0,11.5287,0.0,100047,16005779.54,6,1
17.6249,17.443,0.1663,0.8337,0.6301,1.0956,0.75,0.0,0.0,0.0126,0.0,0.0003,0.1394,0.0,12.4322,0.001,100048,45124035.5,6,1
18.7054,18.7268,-0.0216,1.0216,0.5514,0.0804,0.25,0.0,0.0,0.0147,0.0,0.0,0.1566,0.0,14.2973,0.0014,100049,132932515.14,6,1
19.0037,19.046,-0.0432,1.0432,0.597,1.346,0.9167,0.0,0.0,0.0,0.0,0.0,0.1529,0.0,13.9688,0.0,100050,179144944.82,6,1
18.9332,18.9201,0.013,0.987,0.4327,0.3739,0.25,0.0,0.0,0.0,0.0,0.0,0.1139,0.0,14.5572,0.0005,100051,166949783.69,6,1
18.6259,18.5946,0.0308,0.9692,0.2787,0.6704,0.25,0.0,0.0,0.0,0.0,0.0001,0.1266,0.0,13.5478,0.0,100052,122773541.98,6,1
16.4754,16.5639,-0.0925,1.0925,0.3649,1.1179,0.8333,0.0,0.0,0.0073,0.0,0.0,0.1152,0.0,11.4147,0.0,100053,14294094.56,6,1
18.4206,18.3467,0.0713,0.9287,0.3535,0.389,0.25,0.0,0.0,0.0093,0.0,0.0001,0.1131,0.0,13.9535,0.0027,100054,99995835.06,6,1
19.096,19.0857,0.0102,0.9898,0.5607,0.3412,0.25,0.2011,0.0,0.0,0.0245,0.0,0.1472,0.0,14.6903,0.002,100055,196461187.23,6,1
15.1249,15.0187,0.1007,0.8993,0.2122,1.3751,0.9167,0.0,0.0,0.0267,0.0,0.0021,0.1294,0.0,9.9374,0.0,100056,3703746.46,6,1
17.6188,17.7174,-0.1036,1.1036,0.3779,0.1658,0.25,0.0,0.0,0.0,0.0,0.0,0.0897,0.0,13.3126,0.0008,100057,44847766.06,6,1
19.387,19.4073,-0.0205,1.0205,0.3548,0.4172,0.25,0.0,0.0,0.045,0.0,0.0,0.1346,0.0,15.0405,0.0002,100058,262833857.52,6,1
17.6859,17.7198,-0.0345,1.0345,0.4874,0.884,0.8333,0.0,0.0,0.0047,0.0,0.0,0.1529,0.0,12.6468,0.0,100059,47961400.58,6,1
17.1056,17.1499,-0.0453,1.0453,0.4453,1.626,0.75,0.0,0.0,0.0341,0.0,0.0,0.1212,0.0,12.0221,0.004,100060,26846222.44,6,1
15.8829,15.9013,-0.0186,1.0186,0.368,1.341,0.6667,0.0,0.0,0.0,0.0,0.0,0.098,0.0,10.8617,0.0,100061,7904236.62,6,1
17.2627,17.4163,-0.1659,1.1659,0.3975,0.099,0.25,0.0,0.0,0.0127,0.0,0.0,0.15,0.0,12.9604,0.0035,100062,31413415.57,6,1
18.2496,18.2898,-0.0411,1.0411,0.4899,0.4147,0.25,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,13.9132,0.0002,100063,84272387.2,6,1
18.6618,18.6864,-0.0249,1.0249,0.3749,0.1838,0.25,0.0,0.0,0.0136,0.0,0.0,0.0988,0.0,14.2797,0.0,100064,127262802.47,6,1
17.6795,17.7156,-0.0367,1.0367,0.4801,1.159,0.9167,0.0,0.0,0.0001,0.0,0.0001,0.0859,0.0,12.6039,0.0,100065,47654008.72,6,1
16.854,16.8662,-0.0123,1.0123,0.5282,1.5657,0.8333,0.0,0.0,0.0092,0.0,0.0004,0.0756,0.0,11.7126,0.0,100066,20873792.5,6,1
18.3127,18.3058,0.0069,0.9931,0.5554,0.9872,0.8333,0.0,0.0,0.0066,0.0,0.0,0.0683,0.0,13.2278,0.0013,100067,89761988.18,6,1
16.8161,16.8612,-0.0462,1.0462,0.5197,1.5096,0.8333,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,11.7149,0.0021,100068,20096609.82,6,1
17.1396,17.1872,-0.0487,1.0487,0.5261,1.3027,0.8333,0.0,0.0,0.0,0.0,0.0,0.0745,0.0,12.0823,0.0,100069,27774616.92,6,1
18.2381,18.2199,0.018,0.982,0.773,1.0356,0.6667,0.0,0.0,0.0,0.0,0.0,0.1437,0.0,13.1538,0.0,100070,83309146.66,6,1
18.8426,18.856,-0.0135,1.0135,0.707,1.5923,0.75,0.0,0.0,0.0053,0.0,0.0,0.0833,0.0,13.7995,0.0,100071,152490828.9,6,1
17.1628,17.2199,-0.0587,1.0587,0.6664,1.0879,0.75,0.0,0.0,0.0005,0.0,0.0005,0.1313,0.0,12.1166,0.0,100072,28425937.42,6,1
18.6241,18.6676,-0.0444,1.0444,0.3386,0.0366,0.25,0.0,0.0,0.0,0.0,0.0,0.1474,0.0,14.2894,0.0053,100073,122564541.45,6,1
17.9299,17.6483,0.2454,0.7546,0.5801,0.9226,0.25,0.3314,0.0,0.0206,0.0,0.0,0.1166,0.0,13.3984,0.0053,100074,61214719.79,6,1
18.9046,18.9101,-0.0055,1.0055,0.2446,0.4177,0.25,0.0,0.0,0.0,0.0,0.0,0.131,0.0,14.4766,0.0018,100075,162246594.33,6,1
15.3035,15.3387,-0.0358,1.0358,0.6348,1.5105,0.6667,0.0,0.0,0.0207,0.0,0.0,0.1049,0.0,10.2337,0.0,100076,4428271.4,6,1
17.5785,17.6231,-0.0456,1.0456,0.3179,1.2763,0.8333,0.0,0.0,0.0,0.0,0.0,0.1731,0.0,12.5512,0.0,100077,43076254.32,6,1
18.3052,18.2295,0.0729,0.9271,0.5496,1.5811,0.8333,0.0,0.0,0.0094,0.0,0.0,0.1049,0.0,13.1804,0.0,100078,89089625.34,6,1
18.069,18.0169,0.0508,0.9492,0.5152,0.3889,0.25,0.0,0.0,0.0133,0.0,0.0001,0.122,0.0,13.6366,0.0032,100079,70351239.44,6,1
18.3524,18.3432,0.0091,0.9909,0.5982,1.9568,0.75,0.0,0.0,0.0006,0.0,0.0002,0.1018,0.0,13.2298,0.0,100080,93400159.92,6,1
16.2989,16.3998,-0.1062,1.1062,0.6231,1.4606,0.75,0.0,0.0,0.0,0.0,0.0,0.1582,0.0001,11.2881,0.005,100081,11982312.74,6,1
18.2176,18.2435,-0.0263,1.0263,0.3882,0.6273,0.25,0.0,0.0,0.018,0.0,0.0001,0.1071,0.0,13.7999,0.0028,100082,81623076.06,6,1
18.2139,18.2544,-0.0413,1.0413,0.3657,0.454,0.25,0.0,0.0,0.0,0.0,0.0,0.15,0.0,13.8523,0.0006,100083,81322572.07,6,1
